year;month;yield_kWh
2014;January;152
2014;Fabruary;279
2014;March;420
2014;April;570
2014;May;659
2014;June;761
2014;July;700
2014;August;570
2014;September;518
2014;October;392
2014;November;244
2014;December;76
2015;January;141
2015;February;316
2015;March;452
2015;April;733
2015;May;752
2015;June;819
2015;July;742
2015;August;670
2015;September;493
2015;October;331
2015;November;228
2015;December;212
2016;January;175
2016;February;259
2016;March;433
2016;April;580
2016;May;691
2016;June;626
2016;July;746
2016;August;715
2016;September;642
2016;October;333
2016;November;210
2016;December;245
2017;January;233
2017;February;234
2017;March;524
2017;April;604
2017;May;719
2017;June;786
2017;July;687
2017;August;598
2017;September;474
2017;October;331
2017;November;176
2017;December;47
2018;January;138
2018;February;370
2018;March;405
2018;April;654
2018;May;787
2018;June;697
2018;July;834
2018;August;738
2018;September;567
2018;October;405
2018;November;263
2018;December;141
2019;January;92
2019;February;215
2019;March;160
2019;April;674
2019;May;665
2019;June;822
2019;July;732
2019;August;679
2019;September;509
2019;October;308
2019;November;217
2019;December;164
2020;January;206
2020;February;237
2020;March;540
2020;April;819
2020;May;874
2020;June;727
2020;July;728
2020;August;647
2020;September;562
2020;October;266
2020;November;291
2020;December;133
